iter	Passed	Remaining
0	0	680
1	1	601
2	1	567
3	2	546
4	3	656
5	3	639
6	4	631
7	4	619
8	5	608
9	6	614
10	6	609
11	7	604
12	7	604
13	8	600
14	9	598
15	9	596
16	10	595
17	10	593
18	11	591
19	12	589
20	12	589
21	13	589
22	13	588
23	14	587
24	15	587
25	15	587
26	16	586
27	16	587
28	17	588
29	18	588
30	18	588
31	19	588
32	20	588
33	20	588
34	21	589
35	22	590
36	22	590
37	23	590
38	23	590
39	24	590
40	25	590
41	25	590
42	26	590
43	27	589
44	27	589
45	28	589
46	29	589
47	29	589
48	30	590
49	31	591
50	31	590
51	32	590
52	33	590
53	33	590
54	34	590
55	34	589
56	35	590
57	36	591
58	37	591
59	37	591
60	38	591
61	39	591
62	39	591
63	40	591
64	41	590
65	41	590
66	42	590
67	42	586
68	43	586
69	44	586
70	44	586
71	45	586
72	46	586
73	46	586
74	47	585
75	48	585
76	48	585
77	49	584
78	50	584
79	50	584
80	51	583
81	52	583
82	52	583
83	53	582
84	53	580
85	54	579
86	55	577
87	55	577
88	56	576
89	57	576
90	57	576
91	58	579
92	59	580
93	60	581
94	60	580
95	61	580
96	62	580
97	62	579
98	63	579
99	64	578
100	65	579
101	65	576
102	66	575
103	66	575
104	67	574
105	68	574
106	68	573
107	69	572
108	70	572
109	70	572
110	71	571
111	71	570
112	72	570
113	73	570
114	74	570
115	74	569
116	75	569
117	76	569
118	76	568
119	77	567
120	78	567
121	78	567
122	79	565
123	80	565
124	80	565
125	81	565
126	82	565
127	82	563
128	83	563
129	84	563
130	85	565
131	86	566
132	87	568
133	87	568
134	88	568
135	89	568
136	90	568
137	90	567
138	91	567
139	92	567
140	93	567
141	93	567
142	94	567
143	95	567
144	96	567
145	97	567
146	97	567
147	98	567
148	99	567
149	100	568
150	101	567
151	101	567
152	102	567
153	103	567
154	104	568
155	105	568
156	105	568
157	106	568
158	107	568
159	108	568
160	109	568
161	109	568
162	110	567
163	111	567
164	112	567
165	113	569
166	114	570
167	115	570
168	115	570
169	116	569
170	117	570
171	118	569
172	119	569
173	120	570
174	120	570
175	121	570
176	122	570
177	123	571
178	124	571
179	125	571
180	125	569
181	126	569
182	127	569
183	128	569
184	129	569
185	129	568
186	130	569
187	131	569
188	132	568
189	133	568
190	134	568
191	135	568
192	136	568
193	136	568
194	137	568
195	138	568
196	139	568
197	140	567
198	141	568
199	141	567
200	142	567
201	143	567
202	144	567
203	145	567
204	146	567
205	147	567
206	148	567
207	148	567
208	149	567
209	150	567
210	151	567
211	152	567
212	153	568
213	155	571
214	156	571
215	157	571
216	158	570
217	159	570
218	159	570
219	160	569
220	161	569
221	162	569
222	163	569
223	164	568
224	164	568
225	165	567
226	166	567
227	167	567
228	168	567
229	169	567
230	170	567
231	171	566
232	172	566
233	172	566
234	173	565
235	174	564
236	175	564
237	176	563
238	176	563
239	177	562
240	178	561
241	179	561
242	179	560
243	180	559
244	181	559
245	182	559
246	183	559
247	184	558
248	184	557
249	185	557
250	186	556
251	187	555
252	188	555
253	188	554
254	189	553
255	190	552
256	190	551
257	191	550
258	192	549
259	192	548
260	193	547
261	194	547
262	194	546
263	195	545
264	196	544
265	196	543
266	197	542
267	198	541
268	199	541
269	199	540
270	200	539
271	201	538
272	202	538
273	202	537
274	203	536
275	204	535
276	204	534
277	205	533
278	206	533
279	206	532
280	207	531
281	208	530
282	208	529
283	209	528
284	210	527
285	210	526
286	211	526
287	212	525
288	213	524
289	213	523
290	214	522
291	215	521
292	215	521
293	216	520
294	217	519
295	217	518
296	218	517
297	219	516
298	219	515
299	220	514
300	221	513
301	221	512
302	222	511
303	223	510
304	223	509
305	224	509
306	225	508
307	225	507
308	226	506
309	227	505
310	227	504
311	228	503
312	229	502
313	229	501
314	230	500
315	230	499
316	231	499
317	232	498
318	232	497
319	233	496
320	234	495
321	234	494
322	235	493
323	236	492
324	236	491
325	237	490
326	237	489
327	238	488
328	239	488
329	239	487
330	240	486
331	241	485
332	241	484
333	242	483
334	243	482
335	243	482
336	244	481
337	245	480
338	245	479
339	246	478
340	247	477
341	247	476
342	248	476
343	249	475
344	249	474
345	250	473
346	251	472
347	251	471
348	252	471
349	253	470
350	253	469
351	254	468
352	255	467
353	255	467
354	256	466
355	257	465
356	257	464
357	258	463
358	259	463
359	260	462
360	260	461
361	261	460
362	261	459
363	262	458
364	263	458
365	264	457
366	264	456
367	265	455
368	266	454
369	266	454
370	267	453
371	268	453
372	269	452
373	269	451
374	270	451
375	271	450
376	272	449
377	273	449
378	273	448
379	274	447
380	275	447
381	276	446
382	276	445
383	277	445
384	278	444
385	279	443
386	279	443
387	281	443
388	282	442
389	282	442
390	283	441
391	284	440
392	285	440
393	285	439
394	286	438
395	287	438
396	288	437
397	288	436
398	289	436
399	290	435
400	290	434
401	291	433
402	292	433
403	293	432
404	293	431
405	294	431
406	295	430
407	296	430
408	297	429
409	297	428
410	298	428
411	299	427
412	300	427
413	301	426
414	301	425
415	302	425
416	303	424
417	304	423
418	305	423
419	305	422
420	306	421
421	307	420
422	308	420
423	309	419
424	309	419
425	310	418
426	311	417
427	311	416
428	312	416
429	313	415
430	313	414
431	314	413
432	315	413
433	316	412
434	317	411
435	317	411
436	318	410
437	319	409
438	319	408
439	320	408
440	321	407
441	322	406
442	323	406
443	323	405
444	324	404
445	325	403
446	325	403
447	326	402
448	327	401
449	327	400
450	328	399
451	329	399
452	330	398
453	331	398
454	331	397
455	332	396
456	333	395
457	333	395
458	334	394
459	335	393
460	336	393
461	337	392
462	338	392
463	338	391
464	339	390
465	340	389
466	340	389
467	341	388
468	342	387
469	343	386
470	343	386
471	344	385
472	345	384
473	345	383
474	346	382
475	347	382
476	347	381
477	348	380
478	349	379
479	349	379
480	350	378
481	351	377
482	352	376
483	352	376
484	353	375
485	354	374
486	354	373
487	355	372
488	356	372
489	356	371
490	357	370
491	358	369
492	358	369
493	359	368
494	360	367
495	360	366
496	361	365
497	362	365
498	362	364
499	363	363
500	364	363
501	365	362
502	366	361
503	367	361
504	367	360
505	368	359
506	369	359
507	370	358
508	370	357
509	371	357
510	372	356
511	373	355
512	374	355
513	375	354
514	375	353
515	376	353
516	377	352
517	378	351
518	378	350
519	379	350
520	380	349
521	380	348
522	381	347
523	382	347
524	382	346
525	383	345
526	384	344
527	384	344
528	385	343
529	386	342
530	387	341
531	387	341
532	388	340
533	389	339
534	389	338
535	390	338
536	391	337
537	392	337
538	393	336
539	393	335
540	394	334
541	395	333
542	395	333
543	396	332
544	397	331
545	397	330
546	398	330
547	399	329
548	399	328
549	400	327
550	401	326
551	401	326
552	402	325
553	403	324
554	403	323
555	404	323
556	405	322
557	405	321
558	406	320
559	407	319
560	407	319
561	408	318
562	409	317
563	409	316
564	410	315
565	411	315
566	411	314
567	412	313
568	412	312
569	413	312
570	414	311
571	414	310
572	415	309
573	416	308
574	416	308
575	417	307
576	418	306
577	418	305
578	419	305
579	420	304
580	420	303
581	421	302
582	422	301
583	422	301
584	423	300
585	424	299
586	424	298
587	425	298
588	425	297
589	426	296
590	427	295
591	427	294
592	428	294
593	429	293
594	429	292
595	430	291
596	431	291
597	431	290
598	432	289
599	433	289
600	434	288
601	435	287
602	436	287
603	436	286
604	437	285
605	438	284
606	438	284
607	439	283
608	440	282
609	440	281
610	441	281
611	442	280
612	442	279
613	443	278
614	444	277
615	444	277
616	445	276
617	445	275
618	446	274
619	447	274
620	448	273
621	449	272
622	449	272
623	450	271
624	451	270
625	451	269
626	452	269
627	452	268
628	453	267
629	454	266
630	455	266
631	455	265
632	456	264
633	457	263
634	457	263
635	458	262
636	459	261
637	459	260
638	460	260
639	461	259
640	462	258
641	462	257
642	463	257
643	464	256
644	464	255
645	465	255
646	466	254
647	467	253
648	467	252
649	468	252
650	468	251
651	469	250
652	470	249
653	470	249
654	471	248
655	472	247
656	472	246
657	473	246
658	474	245
659	474	244
660	475	243
661	476	243
662	477	242
663	477	241
664	478	240
665	479	240
666	479	239
667	480	238
668	481	238
669	481	237
670	482	236
671	483	235
672	483	235
673	484	234
674	485	233
675	485	232
676	486	232
677	487	231
678	487	230
679	488	229
680	488	229
681	489	228
682	490	227
683	491	226
684	491	226
685	492	225
686	493	224
687	493	223
688	494	223
689	495	222
690	495	221
691	496	220
692	497	220
693	497	219
694	498	218
695	499	217
696	499	217
